;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Region;Product ID;Category;Sub-Category;Product Name;Sales;Quantity;Discount;Profit;City / State
0;CA-2016-152156;2016-11-08;2016-11-11;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;South;FUR-BO-10001798;Furniture;Bookcases;Bush Somerset Collection Bookcase;261.96;2;0.0;41.9136;Henderson / Kentucky
1;CA-2016-152156;2016-11-08;2016-11-11;Second Class;CG-12520;Claire Gute;Consumer;United States;Henderson;Kentucky;South;FUR-CH-10000454;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back;731.94;3;0.0;219.582;Henderson / Kentucky
2;CA-2016-138688;2016-06-12;2016-06-16;Second Class;DV-13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;West;OFF-LA-10000240;Office Supplies;Labels;Self-Adhesive Address Labels for Typewriters by Universal;14.62;2;0.0;6.8714;Los Angeles / California
3;US-2015-108966;2015-10-11;2015-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;South;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;957.5775;5;0.45;-383.031;Fort Lauderdale / Florida
4;US-2015-108966;2015-10-11;2015-10-18;Standard Class;SO-20335;Sean O'Donnell;Consumer;United States;Fort Lauderdale;Florida;South;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;22.368;2;0.2;2.5164;Fort Lauderdale / Florida
5;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;FUR-FU-10001487;Furniture;Furnishings;Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood;48.86;7;0.0;14.1694;Los Angeles / California
6;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;OFF-AR-10002833;Office Supplies;Art;Newell 322;7.28;4;0.0;1.9656;Los Angeles / California
7;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;TEC-PH-10002275;Technology;Phones;Mitel 5320 IP Phone VoIP phone;907.152;6;0.2;90.7152;Los Angeles / California
8;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;OFF-BI-10003910;Office Supplies;Binders;DXL Angle-View Binders with Locking Rings by Samsill;18.504;3;0.2;5.7825;Los Angeles / California
9;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;OFF-AP-10002892;Office Supplies;Appliances;Belkin F5C206VTEL 6 Outlet Surge;114.9;5;0.0;34.47;Los Angeles / California
10;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;FUR-TA-10001539;Furniture;Tables;Chromcraft Rectangular Conference Tables;1706.184;9;0.2;85.3092;Los Angeles / California
11;CA-2014-115812;2014-06-09;2014-06-14;Standard Class;BH-11710;Brosina Hoffman;Consumer;United States;Los Angeles;California;West;TEC-PH-10002033;Technology;Phones;Konftel 250 Conference phone - Charcoal black;911.424;4;0.2;68.3568;Los Angeles / California
12;CA-2017-114412;2017-04-15;2017-04-20;Standard Class;AA-10480;Andrew Allen;Consumer;United States;Concord;North Carolina;South;OFF-PA-10002365;Office Supplies;Paper;Xerox 1967;15.552;3;0.2;5.4432;Concord / North Carolina
13;CA-2016-161389;2016-12-05;2016-12-10;Standard Class;IM-15070;Irene Maddox;Consumer;United States;Seattle;Washington;West;OFF-BI-10003656;Office Supplies;Binders;Fellowes PB200 Plastic Comb Binding Machine;407.976;3;0.2;132.5922;Seattle / Washington
14;US-2015-118983;2015-11-22;2015-11-26;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68.81;5;0.8;-123.858;Fort Worth / Texas
15;US-2015-118983;2015-11-22;2015-11-26;Standard Class;HP-14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;Central;OFF-BI-10000756;Office Supplies;Binders;Storex DuraTech Recycled Plastic Frosted Binders;2.544;3;0.8;-3.816;Fort Worth / Texas
16;CA-2014-105893;2014-11-11;2014-11-18;Standard Class;PK-19075;Pete Kriz;Consumer;United States;Madison;Wisconsin;Central;OFF-ST-10004186;Office Supplies;Storage;"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D";665.88;6;0.0;13.3176;Madison / Wisconsin
17;CA-2014-167164;2014-05-13;2014-05-15;Second Class;AG-10270;Alejandro Grove;Consumer;United States;West Jordan;Utah;West;OFF-ST-10000107;Office Supplies;Storage;Fellowes Super Stor/Drawer;55.5;2;0.0;9.99;West Jordan / Utah
18;CA-2014-143336;2014-08-27;2014-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;West;OFF-AR-10003056;Office Supplies;Art;Newell 341;8.56;2;0.0;2.4824;San Francisco / California
19;CA-2014-143336;2014-08-27;2014-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;West;TEC-PH-10001949;Technology;Phones;Cisco SPA 501G IP Phone;213.48;3;0.2;16.011;San Francisco / California
20;CA-2014-143336;2014-08-27;2014-09-01;Second Class;ZD-21925;Zuschuss Donatelli;Consumer;United States;San Francisco;California;West;OFF-BI-10002215;Office Supplies;Binders;"Wilson Jones Hanging View Binder, White, 1""";22.72;4;0.2;7.384;San Francisco / California
21;CA-2016-137330;2016-12-09;2016-12-13;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;Central;OFF-AR-10000246;Office Supplies;Art;Newell 318;19.46;7;0.0;5.0596;Fremont / Nebraska
22;CA-2016-137330;2016-12-09;2016-12-13;Standard Class;KB-16585;Ken Black;Corporate;United States;Fremont;Nebraska;Central;OFF-AP-10001492;Office Supplies;Appliances;Acco Six-Outlet Power Strip, 4' Cord Length;60.34;7;0.0;15.6884;Fremont / Nebraska
23;US-2017-156909;2017-07-16;2017-07-18;Second Class;SF-20065;Sandra Flanagan;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-CH-10002774;Furniture;Chairs;Global Deluxe Stacking Chair, Gray;71.372;2;0.3;-1.0196;Philadelphia / Pennsylvania
24;CA-2015-106320;2015-09-25;2015-09-30;Standard Class;EB-13870;Emily Burns;Consumer;United States;Orem;Utah;West;FUR-TA-10000577;Furniture;Tables;Bretford CR4500 Series Slim Rectangular Table;1044.63;3;0.0;240.2649;Orem / Utah
25;CA-2016-121755;2016-01-16;2016-01-20;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;West;OFF-BI-10001634;Office Supplies;Binders;Wilson Jones Active Use Binders;11.648;2;0.2;4.2224;Los Angeles / California
26;CA-2016-121755;2016-01-16;2016-01-20;Second Class;EH-13945;Eric Hoffmann;Consumer;United States;Los Angeles;California;West;TEC-AC-10003027;Technology;Accessories;Imation 8GB Mini TravelDrive USB 2.0 Flash Drive;90.57;3;0.0;11.7741;Los Angeles / California
27;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-BO-10004834;Furniture;Bookcases;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;3083.43;7;0.5;-1665.0522;Philadelphia / Pennsylvania
28;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-BI-10000474;Office Supplies;Binders;Avery Recycled Flexi-View Covers for Binding Systems;9.618;2;0.7;-7.0532;Philadelphia / Pennsylvania
29;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;FUR-FU-10004848;Furniture;Furnishings;"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock";124.2;3;0.2;15.525;Philadelphia / Pennsylvania
30;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-EN-10001509;Office Supplies;Envelopes;Poly String Tie Envelopes;3.264;2;0.2;1.1016;Philadelphia / Pennsylvania
31;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-AR-10004042;Office Supplies;Art;BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain;86.304;6;0.2;9.7092;Philadelphia / Pennsylvania
32;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-BI-10001525;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red";6.858;6;0.7;-5.715;Philadelphia / Pennsylvania
33;US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Tracy Blumstein;Consumer;United States;Philadelphia;Pennsylvania;East;OFF-AR-10001683;Office Supplies;Art;Lumber Crayons;15.76;2;0.2;3.546;Philadelphia / Pennsylvania
34;CA-2017-107727;2017-10-19;2017-10-23;Second Class;MA-17560;Matt Abelman;Home Office;United States;Houston;Texas;Central;OFF-PA-10000249;Office Supplies;Paper;Easy-staple paper;29.472;3;0.2;9.9468;Houston / Texas
35;CA-2016-117590;2016-12-08;2016-12-10;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;Central;TEC-PH-10004977;Technology;Phones;GE 30524EE4;1097.544;7;0.2;123.4737;Richardson / Texas
36;CA-2016-117590;2016-12-08;2016-12-10;First Class;GH-14485;Gene Hale;Corporate;United States;Richardson;Texas;Central;FUR-FU-10003664;Furniture;Furnishings;Electrix Architect's Clamp-On Swing Arm Lamp, Black;190.92;5;0.6;-147.963;Richardson / Texas
37;CA-2015-117415;2015-12-27;2015-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;Central;OFF-EN-10002986;Office Supplies;Envelopes;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";113.328;9;0.2;35.415;Houston / Texas
38;CA-2015-117415;2015-12-27;2015-12-31;Standard Class;SN-20710;Steve Nguyen;Home Office;United States;Houston;Texas;Central;FUR-BO-10002545;Furniture;Bookcases;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;532.3992;3;0.32;-46.9764;Houston / Texas
